City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,New Norfolk,AU,2022-02-01 13:20:41,-42.7826,147.0587,56.7,45,96,5.84
99,Hede,CN,2022-02-01 13:28:41,33.7681,120.2517,29.98,70,16,4.29
100,Ambilobe,MG,2022-02-01 13:28:41,-13.2,49.05,81.75,81,100,6.31
101,Hambantota,LK,2022-02-01 13:28:41,6.1241,81.1185,82.74,78,40,4.61
102,Den Helder,NL,2022-02-01 13:27:28,52.9599,4.7593,49.06,88,100,21.99
103,Cidreira,BR,2022-02-01 13:28:42,-30.1811,-50.2056,74.26,70,100,7.49
104,Kudahuvadhoo,MV,2022-02-01 13:28:42,2.6708,72.8944,83.5,75,39,13.04
105,Cockburn Town,TC,2022-02-01 13:20:37,21.4612,-71.1419,75.09,69,92,18.66
106,Atuona,PF,2022-02-01 13:28:42,-9.8,-139.0333,78.19,76,28,23.53
107,Port Elizabeth,ZA,2022-02-01 13:28:43,-33.918,25.5701,88.11,69,20,6.91
108,Mahebourg,MU,2022-02-01 13:22:57,-20.4081,57.7,79.25,94,75,20.71
109,Georgetown,MY,2022-02-01 13:15:51,5.4112,100.3354,85.95,78,40,6.91
110,Usinsk,RU,2022-02-01 13:28:43,65.9939,57.5281,-8.12,100,76,4.74
111,Perpignan,FR,2022-02-01 13:24:38,42.75,2.75,63.64,35,0,25.32
112,Mataura,NZ,2022-02-01 13:28:43,-46.1927,168.8643,59.49,98,15,3.38
113,Pemberton,CA,2022-02-01 13:28:44,50.3164,-122.8027,26.46,99,86,0.72
114,Berlevag,NO,2022-02-01 13:28:44,70.8578,29.0864,17.55,45,0,9.22
115,Antalaha,MG,2022-02-01 13:28:44,-14.9003,50.2788,83.97,67,100,15.39
116,Mogadishu,SO,2022-02-01 13:27:36,2.0371,45.3438,84.07,74,20,18.41
117,Oktyabrskoye,RU,2022-02-01 13:28:45,43.0645,44.7417,39.34,75,75,11.18
118,Bredasdorp,ZA,2022-02-01 13:28:45,-34.5322,20.0403,85.28,46,1,12.93
119,Bluff,NZ,2022-02-01 13:28:45,-46.6,168.3333,59.81,96,60,6.49
120,Ixtapa,MX,2022-02-01 13:20:31,20.7,-105.2,62.22,88,0,0.0
121,Bahia Honda,CU,2022-02-01 13:28:46,22.9036,-83.1592,62.65,76,100,8.41
122,Gladstone,AU,2022-02-01 13:25:00,-23.85,151.25,82.33,74,100,5.75
123,Aklavik,CA,2022-02-01 13:28:46,68.2191,-135.0107,-10.37,99,96,3.31
124,Vardo,NO,2022-02-01 13:28:46,70.3705,31.1107,19.6,86,0,2.3
125,Richards Bay,ZA,2022-02-01 13:21:48,-28.783,32.0377,88.36,57,98,17.07
126,Riachao Das Neves,BR,2022-02-01 13:28:47,-11.7461,-44.91,80.13,68,100,4.41
127,Ishigaki,JP,2022-02-01 13:28:47,24.3448,124.1572,69.1,71,100,16.98
128,Bethel,US,2022-02-01 13:28:47,41.3712,-73.414,27.01,72,5,3.94
129,Barbosa Ferraz,BR,2022-02-01 13:28:47,-24.03,-52.0117,82.69,76,21,5.21
130,Plouzane,FR,2022-02-01 13:28:48,48.3833,-4.6167,50.32,93,100,12.66
131,Chicomuselo,MX,2022-02-01 13:28:48,15.7667,-92.2667,61.79,83,0,2.35
132,Fort Nelson,CA,2022-02-01 13:23:02,58.8053,-122.7002,-22.41,76,75,0.0
