City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
70,Quatre Cocos,MU,80.71,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
71,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
72,Padang,ID,74.64,heavy intensity rain,-0.9492,100.3543,Mercure Padang
73,Bredasdorp,ZA,76.28,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
78,Kahului,US,75.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
80,Tomatlan,MX,78.01,scattered clouds,19.9333,-105.25,El Salvial
81,Kavieng,PG,81.1,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
86,Taltal,CL,70.72,clear sky,-25.4,-70.4833,Residencial Karime
87,Marsh Harbour,BS,73.78,clear sky,26.5412,-77.0636,Abaco Beach Resort
90,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
91,Acari,PE,81.41,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
97,Bonthe,SL,84.81,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
99,Bambous Virieux,MU,80.85,light rain,-20.3428,57.7575,Casa Tia Villa
103,Ancud,CL,71.22,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
109,Camana,PE,75.09,broken clouds,-16.6228,-72.7111,Hostal Morales
111,Arraial Do Cabo,BR,89.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
120,Ixtapa,MX,70.83,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
121,Huarmey,PE,76.24,few clouds,-10.0681,-78.1522,Hotel Miramar
122,Touros,BR,88.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
124,Isangel,VU,79.43,moderate rain,-19.55,169.2667,Tanna Lodge
126,Sakaraha,MG,77.14,overcast clouds,-22.9,44.5333,Le Relais
131,Honiara,SB,79.47,overcast clouds,-9.4333,159.95,Heritage Park Hotel
133,Boyolangu,ID,75.58,broken clouds,-8.1181,111.8935,Yos ega cv
136,Hithadhoo,MV,82.67,overcast clouds,-0.6,73.0833,Scoop Guest House
137,Chuy,UY,83.12,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
140,Vila Velha,BR,80.94,mist,-20.3297,-40.2925,Quality Suites Vila Velha
142,Acapulco,MX,80.42,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
146,Cururupu,BR,83.8,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
152,Mahibadhoo,MV,81.88,scattered clouds,3.7833,72.9667,Omadhoo Inn
154,Cockburn Town,TC,76.37,clear sky,21.4612,-71.1419,Osprey Beach Hotel
156,Carlagan,PH,76.51,broken clouds,14.975,122.0456,Cabatagan Island
164,Plettenberg Bay,ZA,71.76,clear sky,-34.0527,23.3716,Thanda Vista B&B
172,Tevaitoa,PF,80.6,few clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
174,Hualmay,PE,75.15,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
175,Manta,EC,82.18,broken clouds,-0.95,-80.7333,Balandra Hotel
176,Mogadishu,SO,77.68,broken clouds,2.0371,45.3438,Hotel Juba
